"replication","setting_id","max_probability_sum_error_before_adjustment","max_inactive_tested_probability_error","minimum_other_probability","reservoir_fraction_min","reservoir_fraction_max","minimum_positive_control","minimum_positive_case"
20,"NULL_FOURFOLD",9.99200722162641e-16,0,0.00244757339816246,0.00244757339816246,0.989558042072062,8,9
21,"NULL_BALANCED",8.88178419700125e-16,0,0.00287475953483358,0.00287475953483358,0.845216074407661,12,8
21,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00287475953483358,0.00287475953483358,0.845216074407661,8,7
21,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00287475953483358,0.00287475953483358,0.845216074407661,6,8
22,"NULL_BALANCED",1.4432899320127e-15,0,0.000922535602549535,0.000922535602549535,0.960569724203415,8,11
22,"NULL_BALANCED_LOW",1.4432899320127e-15,0,0.000922535602549535,0.000922535602549535,0.960569724203415,5,8
22,"NULL_FOURFOLD",1.4432899320127e-15,0,0.000922535602549535,0.000922535602549535,0.960569724203415,9,11
23,"NULL_BALANCED",1.11022302462516e-15,0,0.0026663434295147,0.0026663434295147,0.918874518715659,7,14
23,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.0026663434295147,0.0026663434295147,0.918874518715659,5,10
23,"NULL_FOURFOLD",1.11022302462516e-15,0,0.0026663434295147,0.0026663434295147,0.918874518715659,6,14
24,"NULL_BALANCED",1.11022302462516e-15,0,0.000931127602479325,0.000931127602479325,0.901737456745176,11,9
24,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000931127602479325,0.000931127602479325,0.901737456745176,8,7
24,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000931127602479325,0.000931127602479325,0.901737456745176,8,12
25,"NULL_BALANCED",1.33226762955019e-15,0,0.00230166292780596,0.00230166292780596,0.985481974371019,11,10
25,"NULL_BALANCED_LOW",1.33226762955019e-15,0,0.00230166292780596,0.00230166292780596,0.985481974371019,9,9
25,"NULL_FOURFOLD",1.33226762955019e-15,0,0.00230166292780596,0.00230166292780596,0.985481974371019,9,9
26,"NULL_BALANCED",8.88178419700125e-16,0,0.00416691730216916,0.00416691730216916,0.940865139025698,8,9
26,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00416691730216916,0.00416691730216916,0.940865139025698,6,8
26,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00416691730216916,0.00416691730216916,0.940865139025698,6,10
27,"NULL_BALANCED",1.11022302462516e-15,0,0.000545796299123623,0.000545796299123623,0.883234760479835,12,11
27,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000545796299123623,0.000545796299123623,0.883234760479835,9,9
27,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000545796299123623,0.000545796299123623,0.883234760479835,10,11
28,"NULL_BALANCED",1.11022302462516e-15,0,0.000858132597915953,0.000858132597915953,0.912472447664483,10,9
28,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000858132597915953,0.000858132597915953,0.912472447664483,10,8
28,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000858132597915953,0.000858132597915953,0.912472447664483,10,9
29,"NULL_BALANCED",1.11022302462516e-15,0,0.00874186259168429,0.00874186259168429,0.879007748662585,10,9
29,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00874186259168429,0.00874186259168429,0.879007748662585,7,7
29,"NULL_FOURFOLD",1.11022302462516e-15,0,0.00874186259168429,0.00874186259168429,0.879007748662585,7,10
30,"NULL_BALANCED",8.88178419700125e-16,0,0.00386865178939637,0.00386865178939637,0.99352145646409,7,10
30,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00386865178939637,0.00386865178939637,0.99352145646409,7,7
30,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00386865178939637,0.00386865178939637,0.99352145646409,9,13
31,"NULL_BALANCED",1.11022302462516e-15,0,0.000380845343477499,0.000380845343477499,0.948841297122665,12,11
31,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000380845343477499,0.000380845343477499,0.948841297122665,10,10
31,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000380845343477499,0.000380845343477499,0.948841297122665,9,14
32,"NULL_BALANCED",1.66533453693773e-15,0,0.00129420775415767,0.00129420775415767,0.956409766073906,8,11
32,"NULL_BALANCED_LOW",1.66533453693773e-15,0,0.00129420775415767,0.00129420775415767,0.956409766073906,6,6
32,"NULL_FOURFOLD",1.66533453693773e-15,0,0.00129420775415767,0.00129420775415767,0.956409766073906,7,10
33,"NULL_BALANCED",1.11022302462516e-15,0,0.000514987159514252,0.000514987159514252,0.805977694822448,13,7
33,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000514987159514252,0.000514987159514252,0.805977694822448,11,7
33,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000514987159514252,0.000514987159514252,0.805977694822448,9,8
34,"NULL_BALANCED",1.11022302462516e-15,0,0.000242991078285767,0.000242991078285767,0.931838347557913,9,9
34,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.000242991078285767,0.000242991078285767,0.931838347557913,7,7
34,"NULL_FOURFOLD",1.11022302462516e-15,0,0.000242991078285767,0.000242991078285767,0.931838347557913,7,11
35,"NULL_BALANCED",1.33226762955019e-15,0,0.00858858570526894,0.00858858570526894,0.977714569728337,10,8
35,"NULL_BALANCED_LOW",1.33226762955019e-15,0,0.00858858570526894,0.00858858570526894,0.977714569728337,9,7
35,"NULL_FOURFOLD",1.33226762955019e-15,0,0.00858858570526894,0.00858858570526894,0.977714569728337,10,9
36,"NULL_BALANCED",8.88178419700125e-16,0,0.00755274948707352,0.00755274948707352,0.92656115661175,10,10
36,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00755274948707352,0.00755274948707352,0.92656115661175,8,10
36,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00755274948707352,0.00755274948707352,0.92656115661175,9,11
37,"NULL_BALANCED",1.55431223447522e-15,0,0.00207320416394015,0.00207320416394015,0.77095915880886,5,13
37,"NULL_BALANCED_LOW",1.55431223447522e-15,0,0.00207320416394015,0.00207320416394015,0.77095915880886,5,6
37,"NULL_FOURFOLD",1.55431223447522e-15,0,0.00207320416394015,0.00207320416394015,0.77095915880886,7,13
38,"NULL_BALANCED",8.88178419700125e-16,0,0.00373587999675167,0.00373587999675167,0.871815574643098,8,12
38,"NULL_BALANCED_LOW",8.88178419700125e-16,0,0.00373587999675167,0.00373587999675167,0.871815574643098,3,9
38,"NULL_FOURFOLD",8.88178419700125e-16,0,0.00373587999675167,0.00373587999675167,0.871815574643098,2,12
39,"NULL_BALANCED",9.99200722162641e-16,0,0.00225747474795655,0.00225747474795655,0.994432772857541,9,11
39,"NULL_BALANCED_LOW",9.99200722162641e-16,0,0.00225747474795655,0.00225747474795655,0.994432772857541,8,8
39,"NULL_FOURFOLD",9.99200722162641e-16,0,0.00225747474795655,0.00225747474795655,0.994432772857541,10,10
40,"NULL_BALANCED",1.11022302462516e-15,0,0.00471660456834209,0.00471660456834209,0.995264580203836,10,12
40,"NULL_BALANCED_LOW",1.11022302462516e-15,0,0.00471660456834209,0.00471660456834209,0.995264580203836,7,9
