"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","structural_absence","BH","null_rejection_rate",100,0.0032,0.000789834402794905,0.00165195301677128,0.00474804698322871
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","observed_prevalence","BH","null_rejection_rate",100,2e-04,2e-04,0,0.00059199279690801
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","DASRA","present_conditional_abundance","BH","null_rejection_rate",100,0.0042,0.00118219108335994,0.00188294805377012,0.00651705194622988
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","observed_prevalence","BH","null_rejection_rate",100,8e-04,0.000393892771133866,2.79843548069459e-05,0.00157201564519305
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","ZINQ","detected_quantile_abundance","BH","null_rejection_rate",100,6e-04,0.00034289321599553,0,0.00127205835389435
"NULL_BALANCED_LOW","global_null","BALANCED_LOW","MaAsLin 3","detected_log_abundance","BH","null_rejection_rate",100,8e-04,0.000485756725079125,0,0.00175206568640321
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BH","null_rejection_rate",100,0.0036,0.000822904439878482,0.00198713693512007,0.00521286306487993
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","observed_prevalence","BH","null_rejection_rate",100,4e-04,0.00028141058827258,0,0.000951554617882486
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","present_conditional_abundance","BH","null_rejection_rate",100,0.0016,0.000787785542267731,5.59687096138922e-05,0.00314403129038611
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","observed_prevalence","BH","null_rejection_rate",100,0.0014,0.000586377339124206,0.000250721533966127,0.00254927846603387
"NULL_FOURFOLD","global_null","FOURFOLD","ZINQ","detected_quantile_abundance","BH","null_rejection_rate",100,0.0018,0.000808790092756713,0.000214800547144033,0.00338519945285597
