"dataset","dataset_label","replicate","scenario","taxon","observed_prevalence","prevalence_H","prevalence_Case","positive_samples_H","positive_samples_Case","total_count","dasra_retained","dasra_formed_structural_absence","dasra_regular_structural_absence","dasra_nonregular_structural_absence","dasra_formed_relative_abundance","dasra_formed_omnibus","dasra_both_components_formed","dasra_reason_structural_absence","dasra_reason_relative_abundance","dasra_warning_structural_absence","dasra_warning_relative_abundance"
"VilaAV_2018","Vila 2018",2,"balanced","Agathobaculum",0.745,0.73,0.76,73,76,4430,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Akkermansia",0.345,0.35,0.34,35,34,8738,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Alistipes",0.74,0.72,0.76,72,76,16571,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Anaerobutyricum",0.815,0.81,0.82,81,82,13497,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Anaerostipes",0.885,0.86,0.91,86,91,27980,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Bacteroides",0.93,0.9,0.96,90,96,60137,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Barnesiella",0.51,0.47,0.55,47,55,5118,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Bifidobacterium",0.92,0.95,0.89,95,89,115017,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Blautia",0.97,0.97,0.97,97,97,44348,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Clostridium",0.575,0.54,0.61,54,61,6324,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Collinsella",0.795,0.81,0.78,81,78,42989,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Coprococcus",0.75,0.73,0.77,73,77,20736,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Dorea",0.875,0.85,0.9,85,90,31351,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Enterococcus",0.175,0.16,0.19,16,19,3848,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Escherichia",0.415,0.45,0.38,45,38,6232,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Eubacterium",0.835,0.82,0.85,82,85,15258,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Faecalibacterium",0.805,0.78,0.83,78,83,49256,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Firmicutes_unclassified",0.675,0.68,0.67,68,67,7685,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Fusicatenibacter",0.76,0.73,0.79,73,79,37590,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Lachnospira",0.6,0.55,0.65,55,65,7004,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Lachnospiraceae_unclassified",0.745,0.73,0.76,73,76,47544,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Lactobacillus",0.335,0.33,0.34,33,34,7428,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Mediterraneibacter",0.92,0.91,0.93,91,93,38852,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Parabacteroides",0.75,0.77,0.73,77,73,9676,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Phocaeicola",0.865,0.88,0.85,88,85,43978,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Prevotella",0.24,0.22,0.26,22,26,18275,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Roseburia",0.885,0.86,0.91,86,91,47345,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Ruminococcus",0.65,0.59,0.71,59,71,50834,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
"VilaAV_2018","Vila 2018",2,"balanced","Streptococcus",0.94,0.91,0.97,91,97,26391,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,"ok","ok","",""
