"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"MehtaRS_2018","Mehta 2018",27,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",27,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",27,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",27,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",28,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",28,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",28,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",28,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",28,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",28,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",29,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",29,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",29,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",29,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",29,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",29,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",30,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",30,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",30,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",30,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",30,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",30,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",31,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",31,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",31,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",31,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",31,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",31,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",32,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",32,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",32,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",32,"fourfold","SACAT",30,30,1,1,1
"MehtaRS_2018","Mehta 2018",32,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",32,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",33,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",33,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",33,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",33,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",33,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",33,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",34,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",34,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",34,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",34,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",34,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",34,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",35,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",35,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",35,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",35,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",35,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",35,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",36,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",36,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",36,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",36,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",36,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",36,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",37,"balanced","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",37,"balanced","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",37,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"MehtaRS_2018","Mehta 2018",37,"fourfold","SACAT",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",37,"fourfold","ZINQ",30,30,1,0,0
"MehtaRS_2018","Mehta 2018",37,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
