"dataset","taxon","method","family","component","reference_group","comparison_group","model_formula","available","reason","p_value","p_value_unfiltered","p_for_bh","q_value","native_q_value","significant","estimate","statistic","effect_definition","components_used","sensitivity_passed"
"qiita_1939_pediatric_crohn","Faecalibacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0613145365437175,0.0613145365437175,0.0613145365437175,0.224115202539106,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Finegoldia","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.185450452971455,0.185450452971455,0.185450452971455,0.409536416978629,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Fusobacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00163945831440082,0.00163945831440082,0.00163945831440082,0.0323072385363413,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Gallibacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.950996633607843,0.950996633607843,0.950996633607843,0.981007378342969,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Gallionella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00198772441550754,0.00198772441550754,0.00198772441550754,0.0323072385363413,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Glaciecola","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.888375298852366,0.888375298852366,0.888375298852366,0.960895731411743,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Granulicatella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.88009856868017,0.88009856868017,0.88009856868017,0.960136382944757,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Haemophilus","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00174835573887733,0.00174835573887733,0.00174835573887733,0.0323072385363413,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Herbaspirillum","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.621886479592787,0.621886479592787,0.621886479592787,0.864916406594737,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Holdemania","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.115845287441958,0.115845287441958,0.115845287441958,0.323147380759147,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Hydrocarboniphaga","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0917783739499061,0.0917783739499061,0.0917783739499061,0.283241447378132,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Hydrogenophaga","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00422067265990034,0.00422067265990034,0.00422067265990034,0.0526342708175807,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Janthinobacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.490729917943739,0.490729917943739,0.490729917943739,0.767169879652022,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Kingella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.14910090557227,0.14910090557227,0.14910090557227,0.359197636151378,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Klebsiella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0921870748542032,0.0921870748542032,0.0921870748542032,0.283241447378132,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Lachnobacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.126962500166527,0.126962500166527,0.126962500166527,0.324289759461492,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Lachnospira","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00015126262009979,0.00015126262009979,0.00015126262009979,0.00801691886528888,,TRUE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Lactobacillus","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0745420945337479,0.0745420945337479,0.0745420945337479,0.24692068814304,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Lactococcus","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.33932418369675,0.33932418369675,0.33932418369675,0.589645302817303,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Lautropia","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.385182378784123,0.385182378784123,0.385182378784123,0.642981608679008,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Leptothrix","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.686380940950314,0.686380940950314,0.686380940950314,0.899251235562422,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Leptotrichia","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.68354102461656,0.68354102461656,0.68354102461656,0.899251235562422,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Limnobacter","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.813760171229375,0.813760171229375,0.813760171229375,0.939325427203548,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Limnohabitans","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.00986753987726741,0.00986753987726741,0.00986753987726741,0.0950872024536677,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Listeria","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.611881052148292,0.611881052148292,0.611881052148292,0.864791887036253,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Megamonas","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.162869729243869,0.162869729243869,0.162869729243869,0.383648695552225,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Megasphaera","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.487607239033497,0.487607239033497,0.487607239033497,0.767169879652022,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Methanobrevibacter","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.78622868745891,0.78622868745891,0.78622868745891,0.939325427203548,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Methylibium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0579485581811697,0.0579485581811697,0.0579485581811697,0.219376684543,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Methylobacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.077279312877264,0.077279312877264,0.077279312877264,0.252049451230461,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Methylophaga","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.852949292940871,0.852949292940871,0.852949292940871,0.951711842649814,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Micrococcus","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.10185790900318,0.10185790900318,0.10185790900318,0.291809144711812,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Mogibacterium","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.024997921708986,0.024997921708986,0.024997921708986,0.15493532491859,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Moraxella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.283691948534022,0.283691948534022,0.283691948534022,0.509683839739091,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Morganella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0288427939307396,0.0288427939307396,0.0288427939307396,0.165261413873427,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
"qiita_1939_pediatric_crohn","Moryella","ZINQ abundance","ZINQ","abundance","Control","Crohn","age_z + sex + log_library_size_z + group",TRUE,"Available",0.0364425034702001,0.0364425034702001,0.0364425034702001,0.183947874659105,,FALSE,,,"weighted Cauchy combination of nonzero quantile tests at 0.25, 0.50, and 0.75","",
