"taxon","source_feature","direction","native_prevalence_spike_coefficient","structural_logit_absence_contrast","native_nonzero_absolute_logFC","null_baseline_conditional_mean_log_relative_contrast","abundance_raw_conditional_mean_log_relative_contrast","abundance_mapped_conditional_mean_log_relative_contrast","null_baseline_expected_detection_contrast_at_1500","abundance_raw_expected_detection_contrast_at_1500","abundance_expected_detection_contrast_at_1500","joint_raw_expected_detection_contrast_at_1500","joint_expected_detection_contrast_at_1500"
"Taxon_021","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_fragilis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0306331822256256,0.298550810129568,0.329183992355193,-0.0102548965823437,0.0271645149728949,0.0374194115552386,0.13868916955627,0.148944066138613
"Taxon_022","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0060640061725854,0.289206817574366,0.295270823746951,-0.00973787362986389,0.0153795269944686,0.0251174006243325,0.130304087032566,0.14004196066243
"Taxon_023","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0154615308317378,0.263238420806116,0.247776889974379,-0.00494228575739669,0.0346438926490479,0.0395861784064446,0.160022730420459,0.164965016177855
"Taxon_024","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.047054667664808,0.37453010171606,0.421584769380869,-0.0149221960333839,0.0453275107135327,0.0602497067469167,0.111165198838706,0.126087394872089
"Taxon_025","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_siraeum","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.049323427779373,0.42374365310416,0.473067080883533,0.00148201257906633,0.0408077045870578,0.0393256920079915,0.13463065872681,0.133148646147743
"Taxon_026","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.021789262363531,0.159112725488956,0.180901987852487,-0.00434064657691879,0.00928840511926032,0.0136290516961791,0.123931269618837,0.128271916195756
"Taxon_027","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_intestinalis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0318112477077497,0.349627476645182,0.381438724352932,-0.00647685104034623,0.0459302765574489,0.0524071275977951,0.120385411946026,0.126862262986372
"Taxon_028","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_eligens","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.014504131180515,0.377020515494523,0.391524646675038,0.00348122118875638,0.0456464465476875,0.0421652253589311,0.119069622288098,0.115588401099341
"Taxon_029","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0402495978579154,0.340580907886224,0.380830505744139,-0.000809087567946176,0.0528216710605837,0.0536307586285298,0.13644154891757,0.137250636485516
"Taxon_030","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_inulinivorans","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0704990655403614,0.35921019324615,0.429709258786511,-0.0114161112168878,0.0564545796509492,0.067870690867837,0.112275891362617,0.123692002579505
"Taxon_031","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_adolescentis","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0323653330224518,0.441810521136998,0.409445188114546,0.000719563898801456,0.0408680251290047,0.0401484612302032,0.143634870359863,0.142915306461061
"Taxon_032","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.00169890898805036,0.398325003715557,0.400023912703607,0.00257174949504346,0.0596669398360077,0.0570951903409642,0.136018390959477,0.133446641464434
"Taxon_033","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_ventriosum","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0154192174986978,0.42662394810446,0.442043165603158,-0.00191299672987955,0.0464740223908311,0.0483870191207106,0.127361529195534,0.129274525925414
"Taxon_034","k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0209978842206002,0.422448714289308,0.401450830068708,0.00871623553294903,0.03988924953233,0.0311730139993809,0.148485618799546,0.139769383266597
"Taxon_035","k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.00360931260336894,0.414576083080121,0.41818539568349,0.000858997638208181,0.0502223746966874,0.0493633770584793,0.139685094557096,0.138826096918888
"Taxon_036","k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_lactaris","positive",0.693147180559945,-0.693147180559945,0.693147180559945,-0.0272211089275123,0.390574926410571,0.417796035338084,-0.00539759289852168,0.0276953539557132,0.0330929468542349,0.139239979289169,0.144637572187691
"Taxon_037","k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiales_noname|g__Burkholderiales_noname|s__Burkholderiales_bacterium_1_1_47","positive",0.693147180559945,-0.693147180559945,0.693147180559945,0.0326297072274553,0.472933754440426,0.440304047212971,0.00230291447505501,0.0448107967529462,0.0425078822778912,0.120646668323056,0.118343753848001
