"setting_id","depth_design","design_id","taxon","n_replications","n_per_group","mean_positive_control","mean_positive_control_mcse","mean_positive_control_ci95_lower","mean_positive_control_ci95_upper","min_positive_control","q05_positive_control","q25_positive_control","median_positive_control","q75_positive_control","q95_positive_control","max_positive_control","mean_positive_case","mean_positive_case_mcse","mean_positive_case_ci95_lower","mean_positive_case_ci95_upper","min_positive_case","q05_positive_case","q25_positive_case","median_positive_case","q75_positive_case","q95_positive_case","max_positive_case","probability_control_below_10","probability_case_below_10","probability_either_group_below_10","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_008",100,50,42.69,0.230368611077327,42.2328986967869,43.147101303213,38,38.95,41,43,44,46,48,42.85,0.255988872864238,42.3420625390453,43.3579374609547,35,39,41,43,45,47,49,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_009",100,50,31.58,0.371233270887917,30.8433926509113,32.3166073490887,22,25,29,32,34,37,40,31.48,0.380451618926026,30.7251014484685,32.2348985515315,23,25,29,31,34,38,40,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_010",100,50,20.9,0.363623737154524,20.1784916167388,21.6215083832612,11,14.95,18,21,24,26,27,21.3,0.36611528790861,20.5735478394968,22.0264521605032,12,16,18,21,24,27.05,30,0,0,0,0.34,0.32,0.56
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_011",100,50,17.7,0.327987435088233,17.0492017713906,18.3507982286094,10,12,16,17,19.25,23.05,26,18.44,0.38620662287894,17.6736822720687,19.2063177279313,10,11,16,18,21,25,28,0,0,0,0.75,0.62,0.9
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_012",100,50,23.46,0.330417550344647,22.8043798955045,24.1156201044955,16,17.95,21,23,26,29,30,22.78,0.325228746229077,22.1346756085891,23.4253243914109,16,17.95,20,23,25,28,30,0,0,0,0.12,0.19,0.29
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_013",100,50,20.6,0.343187671366233,19.9190412048997,21.2809587951004,10,15,18,20,23,26.05,31,20.08,0.343975568782424,19.3974778454903,20.7625221545097,11,14,18,20,23,25.05,29,0,0,0,0.36,0.45,0.63
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_014",100,50,11.81,0.299054064231425,11.2166118563112,12.4033881436888,4,7,10,11.5,14,17,20,12.18,0.315709878326173,11.5535631076419,12.8064368923581,5,7,10,12,14,17.05,21,0.24,0.22,0.41,0.99,0.99,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_015",100,50,32.39,0.35644002994823,31.6827456503528,33.0972543496473,22,25.95,30,33,35,38,40,33.02,0.315261635772415,32.3944525181155,33.6455474818845,24,28,31,33,35,38.05,41,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_016",100,50,29.87,0.327110088656724,29.2209426170524,30.5190573829476,21,24,28,30,32,34,38,30.9,0.340083174615513,30.2252011999786,31.5747988000214,23,25.95,29,31,33,36,39,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_017",100,50,41.02,0.288142781666074,40.4482622081409,41.5917377918591,34,36,39,41,43,46,48,41.37,0.284855093411412,40.8047856949073,41.9352143050927,33,36,40,41,43.25,45,47,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_018",100,50,20.18,0.343887461037162,19.497652670372,20.862347329628,12,14.95,18,20,23,26,30,19.17,0.309465162609117,18.5559539784255,19.7840460215745,12,14,17,19,21,24.05,27,0,0,0,0.48,0.55,0.75
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_019",100,50,18.75,0.338557546247624,18.078228377648,19.421771622352,12,13.95,16,18,21,25,26,18.67,0.317202099168924,18.0406022177502,19.2993977822498,11,14,16,18.5,21,24,28,0,0,0,0.61,0.6,0.84
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_020",100,50,29.46,0.314440339766906,28.8360821475719,30.0839178524281,21,24,27,29,32,34,38,28.82,0.406109902028075,28.0141898481888,29.6258101518112,21,22,26.75,29,31,35,39,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_021",100,50,20.48,0.300665927567458,19.8834135697562,21.0765864302438,14,16,19,20,22,25.05,31,20.98,0.351326490646952,20.282892021717,21.677107978283,13,16,19,21,23,27,31,0,0,0,0.36,0.33,0.56
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_022",100,50,10.75,0.316666666666667,10.1216646319976,11.3783353680024,3,5.95,8.75,11,13,16,18,11.2,0.262466929133727,10.679208669982,11.720791330018,5,7,10,11,13,16,17,0.35,0.23,0.5,1,1,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_023",100,50,19.98,0.351613883730895,19.282321771488,20.677678228512,11,15,18,20,22,25,32,19.53,0.343321564964534,18.8487755309522,20.2112244690478,10,13.95,17,19,22,25.05,28,0,0,0,0.48,0.51,0.75
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_024",100,50,24.79,0.35768475483082,24.0802758461407,25.4997241538593,16,19.95,22,25,27,30.05,35,24.65,0.370196508013588,23.9154498133813,25.3845501866187,15,19,22,24,27,31.05,36,0,0,0,0.05,0.06,0.11
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_025",100,50,16.67,0.280711577778669,16.113007328865,17.226992671135,9,11.95,15,17,18.25,21,23,16.38,0.313591125415555,15.7577671730834,17.0022328269166,9,10.95,14,17,19,21.05,23,0.01,0.02,0.03,0.84,0.86,0.97
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_026",100,50,32.25,0.340046045604582,31.5752748719915,32.9247251280085,20,27,30,32,35,37,40,32.8,0.36376260434964,32.0782160740962,33.5217839259038,22,26,31,33,35,38,45,0,0,0,0,0,0
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_027",100,50,24.77,0.369234807993969,24.0373580348626,25.5026419651374,13,18,22,25,27.25,31,34,24.68,0.342563125495864,24.0002804394027,25.3597195605973,17,19,22,25,27,30,32,0,0,0,0.07,0.07,0.13
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_028",100,50,25.45,0.326714591413399,24.8017273693869,26.0982726306131,17,20,23,26,28,30,32,25.67,0.360710578181624,24.9542719561555,26.3857280438445,17,19.9,23.75,26,28,32,32,0,0,0,0.03,0.05,0.08
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_029",100,50,25.32,0.368694119203647,24.5884308787259,26.0515691212741,14,19,23,25.5,28,31.05,34,25.32,0.392577599612066,24.5410408720366,26.0989591279634,14,18.95,23,26,28,32,34,0,0,0,0.08,0.07,0.15
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_030",100,50,24.15,0.336162238368694,23.4829811881456,24.8170188118544,16,19,22,24,26,30.05,33,24.99,0.365008648022637,24.2657436531178,25.7142563468822,17,19.95,23,24.5,28,32,33,0,0,0,0.07,0.05,0.12
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_031",100,50,14.68,0.311360650284288,14.0621929196489,15.2978070803511,7,9,12,15,16,20,22,15.04,0.312345315251559,14.4202391307293,15.6597608692707,9,9.95,13,15,17,20,22,0.06,0.05,0.1,0.89,0.89,0.98
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_032",100,50,21.37,0.323383313850247,20.7283373467981,22.0116626532019,14,16,19,21,24,27,28,20.88,0.342386160392448,20.2006315765607,21.5593684234393,13,15.95,18.75,21,23,27,33,0,0,0,0.3,0.34,0.56
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_033",100,50,15.02,0.323484813001205,14.3781359504622,15.6618640495378,6,9.95,12,16,17,20.05,22,15.07,0.289288573552221,14.4959887084574,15.6440112915426,10,11,13,15,17,20,22,0.05,0,0.05,0.93,0.94,0.99
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_034",100,50,13.76,0.335784923949118,13.093729861813,14.426270138187,7,9,11,13,16,20.05,22,13.7,0.315748269507482,13.0734869312092,14.3265130687908,7,9,11,13,16,19,24,0.07,0.07,0.14,0.93,0.96,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_035",100,50,17.18,0.313784330489281,16.557383812301,17.802616187699,11,13,15,17,19,23,27,17.19,0.279861076647365,16.6346949076271,17.7453050923729,10,12.95,16,17,19,21.05,23,0,0,0,0.81,0.76,0.96
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_036",100,50,12.11,0.279210647824516,11.5559854995232,12.6640145004768,5,8,10,12,14,17,19,12.38,0.262382248722059,11.8593766942903,12.9006233057097,6,8,11,12,14,17,19,0.15,0.13,0.24,1,1,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_037",100,50,12.3,0.31414466203784,11.6766688363341,12.9233311636659,3,8,10,12,14,18,20,12.79,0.274982093080898,12.2443758695262,13.3356241304738,6,8,11,13,14.25,17,20,0.19,0.13,0.3,0.99,0.99,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_038",100,50,18.81,0.338653006166871,18.138038964458,19.481961035542,12,13,16,20,21,24,26,18.99,0.375108065237287,18.2457042182794,19.7342957817206,6,13,17,19,21,25,28,0,0.02,0.02,0.49,0.55,0.75
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_039",100,50,14.46,0.277587005197551,13.9092071587469,15.0107928412531,8,10.95,13,14.5,16,19,24,13.33,0.317202099168924,12.7006022177502,13.9593977822498,7,8,11,13,16,18,21,0.02,0.1,0.12,0.96,0.97,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_040",100,50,11.69,0.296339622253204,11.1019978980985,12.2780021019015,6,7,9,11.5,14,16.05,20,11.67,0.269700544749883,11.1348556072552,12.2051443927448,4,7,10,11,13,17,18,0.26,0.18,0.38,0.99,1,1
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","Taxon_041",100,50,21.4,0.331814722550115,20.7416076027301,22.0583923972699,12,16,19,21,24,26.05,29,21.46,0.364987892424066,20.7357848367284,22.1842151632716,14,15.95,19,21,24,27.05,31,0,0,0,0.29,0.33,0.52
