"setting_id","depth_design","design_id","calibration_role","method","component","domain","threshold","n_taxa","operational_tail_n","operational_tail_estimate","operational_tail_mcse","operational_tail_ci95_lower","operational_tail_ci95_upper","available_conditional_tail_n","available_conditional_tail_estimate","available_conditional_tail_mcse","available_conditional_tail_ci95_lower","available_conditional_tail_ci95_upper"
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",0.005,50,100,0.007,0.00131425748134554,0.0043922280267649,0.0096077719732351,100,0.00790537655271222,0.00145301708956113,0.00502227541266026,0.0107884776927642
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",0.01,50,100,0.012,0.00160806050441474,0.00880925908796367,0.0151907409120363,100,0.0135791155965703,0.00178580515294083,0.0100356907398747,0.0171225404532659
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",0.025,50,100,0.0252,0.00232022290813498,0.0205961743742194,0.0298038256257806,100,0.0285554854244881,0.00259337066871738,0.0234096753818721,0.0337012954671041
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",0.05,50,100,0.0438,0.00343122912865541,0.0369916969981448,0.0506083030018551,100,0.0496171841960572,0.0038313008270265,0.0420150521484442,0.0572193162436703
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","DASRA","present_conditional_abundance","abundance",0.1,50,100,0.0834,0.00404075200521843,0.0753822713740888,0.0914177286259112,100,0.0947398408074456,0.00450901461080589,0.0857929775817337,0.103686704033157
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",0.001,50,100,8e-04,0.000393892771133866,1.84312864088354e-05,0.00158156871359117,100,8e-04,0.000393892771133866,1.84312864088354e-05,0.00158156871359117
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",0.005,50,100,0.0038,0.000838228049295813,0.00213677369529203,0.00546322630470797,100,0.0038,0.000838228049295813,0.00213677369529203,0.00546322630470797
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",0.01,50,100,0.0074,0.00126027093447513,0.00489934904822279,0.00990065095177721,100,0.0074,0.00126027093447513,0.00489934904822279,0.00990065095177721
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",0.025,50,100,0.0222,0.00218155722345116,0.0178713171763724,0.0265286828236276,100,0.0222,0.00218155722345116,0.0178713171763724,0.0265286828236276
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",0.05,50,100,0.0436,0.00314472461899177,0.0373601841029254,0.0498398158970746,100,0.0436,0.00314472461899177,0.0373601841029254,0.0498398158970746
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","observed_prevalence","prevalence",0.1,50,100,0.0944,0.0042075449306495,0.0860513180240438,0.102748681975956,100,0.0944,0.0042075449306495,0.0860513180240438,0.102748681975956
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",0.001,50,100,6e-04,0.00034289321599553,0,0.00128037453176231,100,6e-04,0.00034289321599553,0,0.00128037453176231
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",0.005,50,100,0.0064,0.00105906381376013,0.00429858762792538,0.00850141237207462,100,0.0064,0.00105906381376013,0.00429858762792538,0.00850141237207462
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",0.01,50,100,0.011,0.00145990175399344,0.00810323819207547,0.0138967618079245,100,0.011,0.00145990175399344,0.00810323819207547,0.0138967618079245
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",0.025,50,100,0.03,0.00243708718337977,0.0251642902982439,0.0348357097017561,100,0.03,0.00243708718337977,0.0251642902982439,0.0348357097017561
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",0.05,50,100,0.0604,0.00361791278630275,0.0532212761200568,0.0675787238799432,100,0.0604,0.00361791278630275,0.0532212761200568,0.0675787238799432
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","ZINQ","detected_quantile_abundance","abundance",0.1,50,100,0.1152,0.00479157509793929,0.10569247546587,0.12470752453413,100,0.1152,0.00479157509793929,0.10569247546587,0.12470752453413
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","observed_prevalence","prevalence",0.001,50,100,2e-04,2e-04,0,0.000596843390317283,100,2e-04,2e-04,0,0.000596843390317283
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","observed_prevalence","prevalence",0.005,50,100,0.0026,0.000675995337979263,0.00125867859118816,0.00394132140881184,100,0.0026,0.000675995337979263,0.00125867859118816,0.00394132140881184
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","observed_prevalence","prevalence",0.01,50,100,0.0066,0.00117395988780785,0.00427060889012918,0.00892939110987082,100,0.0066,0.00117395988780785,0.00427060889012918,0.00892939110987082
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","observed_prevalence","prevalence",0.025,50,100,0.019,0.00213437474581095,0.014764937448324,0.023235062551676,100,0.019,0.00213437474581095,0.014764937448324,0.023235062551676
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","observed_prevalence","prevalence",0.05,50,100,0.0412,0.00316317191528639,0.0349235806649067,0.0474764193350933,100,0.0412,0.00316317191528639,0.0349235806649067,0.0474764193350933
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","observed_prevalence","prevalence",0.1,50,100,0.0916,0.00411137864267381,0.0834421328028163,0.0997578671971837,100,0.0916,0.00411137864267381,0.0834421328028163,0.0997578671971837
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","detected_log_abundance","abundance",0.001,50,100,8e-04,0.000485756725079125,0,0.0017638467282491,100,8e-04,0.000485756725079125,0,0.0017638467282491
"NULL_BALANCED_LOW","balanced_low","BALANCED_LOW","exact global null; balanced low-depth support stress","MaAsLin3","detected_log_abundance","abundance",0.005,50,100,0.0042,0.000866666666666667,0.0024803453086251,0.0059196546913749,100,0.0042,0.000866666666666667,0.0024803453086251,0.0059196546913749
