"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_rejections","type1_error"
"Atlas1006","HITChip Atlas 1006",34,"balanced","MaAsLin3",30,11,0.366666666666667,0,0
"Atlas1006","HITChip Atlas 1006",34,"fourfold","DASRA",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",34,"fourfold","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",34,"fourfold","MaAsLin3",30,17,0.566666666666667,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",35,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",35,"balanced","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",35,"balanced","MaAsLin3",30,11,0.366666666666667,0,0
"Atlas1006","HITChip Atlas 1006",35,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",35,"fourfold","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",35,"fourfold","MaAsLin3",30,22,0.733333333333333,0,0
"Atlas1006","HITChip Atlas 1006",36,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",36,"balanced","ZINQ",30,30,1,2,0.0666666666666667
"Atlas1006","HITChip Atlas 1006",36,"balanced","MaAsLin3",30,9,0.3,0,0
"Atlas1006","HITChip Atlas 1006",36,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",36,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",36,"fourfold","MaAsLin3",30,15,0.5,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",37,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",37,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",37,"balanced","MaAsLin3",30,8,0.266666666666667,0,0
"Atlas1006","HITChip Atlas 1006",37,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",37,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",37,"fourfold","MaAsLin3",30,19,0.633333333333333,0,0
"Atlas1006","HITChip Atlas 1006",38,"balanced","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",38,"balanced","ZINQ",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",38,"balanced","MaAsLin3",30,10,0.333333333333333,0,0
"Atlas1006","HITChip Atlas 1006",38,"fourfold","DASRA",30,30,1,0,0
"Atlas1006","HITChip Atlas 1006",38,"fourfold","ZINQ",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",38,"fourfold","MaAsLin3",30,13,0.433333333333333,0,0
"Atlas1006","HITChip Atlas 1006",39,"balanced","DASRA",30,30,1,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",39,"balanced","ZINQ",30,30,1,3,0.1
"Atlas1006","HITChip Atlas 1006",39,"balanced","MaAsLin3",30,6,0.2,1,0.0333333333333333
"Atlas1006","HITChip Atlas 1006",39,"fourfold","DASRA",30,30,1,1,0.0333333333333333
