"design","allocation_id","depth","target_library_size","median_library_size","taxon","target_set","method","component","available","reason","p_value","estimate","q_value","significant","d6300_comparison_cells"
"null",1,"native",,21398,"Allobacillus_halotolerans","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.920891314115793,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Imtechella_halotolerans","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.814254022215783,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"native",,21398,"Truepera_radiovictrix","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.959906689719165,,0.959906689719165,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.721124401824832,0.356956459113339,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.469072696907863,0.723988660202984,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Escherichia_coli","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.721131357445635,0.356947168089711,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.999999762012553,-2.98273031833087e-07,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.721018121604599,-0.357098427562529,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.721132320255784,0.356945882011127,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.999999999997684,2.90262992839709e-12,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.72113189942875,0.356946444132919,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","DASRA structural absence","structural absence",TRUE,"available",0.283932554544015,-1.07152696128012,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","DASRA structural absence","structural absence",FALSE,"structural_absence_persistent_boundary",1,,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","DASRA structural absence","structural absence",FALSE,"structural_absence_persistent_boundary",1,,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.939057768012379,0.0278027649838633,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.327425502278757,0.309192410013999,0.900420131266581,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Escherichia_coli","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.755811411677856,0.1033681129065,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.209271018964135,-0.30942131170773,0.900420131266581,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.785154229937286,-0.112583609351132,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","DASRA present-conditional abundance","abundance",FALSE,"conditional_present_information_nonpositive",1,,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.298138150035478,-0.258175928166233,0.900420131266581,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.223837079237967,0.383941002312092,0.900420131266581,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.839517731668083,-0.117401816018092,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.678409264336297,0.461244829743398,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","DASRA present-conditional abundance","abundance",TRUE,"available",0.606488193976677,-0.406179524987761,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","MaAsLin3 prevalence","prevalence",TRUE,"available",0.740604494475985,-0.219651985658703,0.905183271026206,FALSE,"1;2;3;4;13;14;15;16"
