"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita11993Colombia","Colombia Westernization",34,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",34,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",34,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",34,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",34,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",35,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",35,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",35,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",35,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",35,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",35,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",36,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",36,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",36,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",36,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",36,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",36,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",37,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",37,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",37,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",37,"fourfold","SACAT",30,30,1,3,1
"Qiita11993Colombia","Colombia Westernization",37,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",37,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",38,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",38,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",38,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",38,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",38,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",38,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",39,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",39,"balanced","ZINQ",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",39,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",39,"fourfold","SACAT",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",39,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",39,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",40,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",40,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",40,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",40,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",40,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",40,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",41,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",41,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",41,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",41,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",41,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",41,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",42,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",42,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",42,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",42,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",42,"fourfold","ZINQ",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",42,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",43,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",43,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",43,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",43,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",43,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",43,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",44,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",44,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",44,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",44,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",44,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",44,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",45,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",45,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",45,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",45,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",45,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",45,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",46,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",46,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",46,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",46,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",46,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",46,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",47,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",47,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",47,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",47,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",47,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",47,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",48,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",48,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",48,"balanced","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",48,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",48,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",48,"fourfold","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",49,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",49,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",49,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",49,"fourfold","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",49,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",49,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",50,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",50,"balanced","ZINQ",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",50,"balanced","MaAsLin3",30,29,0.966666666666667,0,0
"Qiita11993Colombia","Colombia Westernization",50,"fourfold","SACAT",30,30,1,1,1
"Qiita11993Colombia","Colombia Westernization",50,"fourfold","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",50,"fourfold","MaAsLin3",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",51,"balanced","SACAT",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",51,"balanced","ZINQ",30,30,1,0,0
"Qiita11993Colombia","Colombia Westernization",51,"balanced","MaAsLin3",30,30,1,0,0
