"setting_id","scenario","depth_design","method","component","multiplicity","metric","n_replications","estimate","mcse","ci95_lower","ci95_upper"
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND40_SAME_BALANCED","abundance_same_direction_40","BALANCED","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","DASRA","structural_absence","raw","available_fraction",100,0.9972,0.000853749898324381,0.995526680947479,0.99887331905252
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","edgeR","general_abundance","raw","available_fraction",100,0.8628,0.00667889787073262,0.849709600716943,0.875890399283057
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","DESeq2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","corncob","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","MaAsLin 3","detected_log_abundance","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","metagenomeSeq","general_abundance","raw","available_fraction",100,0.95,0.021904291355759,0.90706837783584,0.99293162216416
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","DASRA","present_conditional_abundance","raw","available_fraction",100,0.9876,0.00155127839102614,0.984559550223594,0.990640449776407
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","LinDA","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","ZINQ","detected_quantile_abundance","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","MaAsLin 3","observed_prevalence","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","ANCOM-BC2","general_abundance","raw","available_fraction",100,1,0,1,1
"ABUND60_SAME_BALANCED","abundance_same_direction_60","BALANCED","ZINQ","observed_prevalence","raw","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","structural_absence","BH","available_fraction",100,0.9958,0.000912096043144139,0.994012324604996,0.997587675395004
"NULL_BALANCED","global_null","BALANCED","edgeR","general_abundance","BH","available_fraction",100,0.915,0.00475989134923957,0.905670784385167,0.924329215614833
"NULL_BALANCED","global_null","BALANCED","DESeq2","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","corncob","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","metagenomeSeq","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","DASRA","present_conditional_abundance","BH","available_fraction",100,0.9808,0.00190522937986453,0.977065819033178,0.984534180966822
"NULL_BALANCED","global_null","BALANCED","LinDA","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ZINQ","detected_quantile_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","MaAsLin 3","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ANCOM-BC2","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_BALANCED","global_null","BALANCED","ZINQ","observed_prevalence","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","DASRA","structural_absence","BH","available_fraction",100,0.9956,0.000967345634071698,0.993704037396618,0.997495962603383
"NULL_FOURFOLD","global_null","FOURFOLD","edgeR","general_abundance","BH","available_fraction",100,0.8322,0.00629185781367274,0.819868185289355,0.844531814710646
"NULL_FOURFOLD","global_null","FOURFOLD","DESeq2","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","corncob","general_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","MaAsLin 3","detected_log_abundance","BH","available_fraction",100,1,0,1,1
"NULL_FOURFOLD","global_null","FOURFOLD","metagenomeSeq","general_abundance","BH","available_fraction",100,0.96,0.0196946385566932,0.921399217740347,0.998600782259653
