"setting_id","method","component","status","n","available_fraction","finite_p_fraction"
"ABUND_BALANCED","DASRA","present_conditional_abundance","multiple_root_effect_disagreement",14,0,1
"ABUND_BALANCED","DASRA","structural_absence","structural_absence_persistent_boundary",15,0,1
"JOINT_BALANCED","ANCOM-BC2","general_abundance","ok_after_sensitivity_exclusion",588,1,1
"JOINT_FOURFOLD","DASRA","present_conditional_abundance","estimating_equation_residue",92,0,1
"JOINT_FOURFOLD","DASRA","structural_absence","structural_absence_persistent_boundary",17,0,1
"ABUND40_SAME_BALANCED","DASRA","present_conditional_abundance","multiple_root_effect_disagreement",17,0,1
"ABUND60_SAME_BALANCED","DASRA","present_conditional_abundance","multiple_root_effect_disagreement",17,0,1
"NULL_BALANCED","DASRA","present_conditional_abundance","estimating_equation_residue",66,0,1
"STRUCT_FOURFOLD","DASRA","structural_absence","structural_absence_persistent_boundary",21,0,1
"JOINT_FOURFOLD","DASRA","present_conditional_abundance","estimating_equation_root_step",16,0,1
"ABUND_FOURFOLD","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",6,0,1
"JOINT_BALANCED","DASRA","structural_absence","structural_absence_persistent_boundary",17,0,1
"ABUND60_SAME_BALANCED","DASRA","present_conditional_abundance","estimating_equation_residue",39,0,1
"NULL_BALANCED","DASRA","structural_absence","structural_absence_persistent_boundary",21,0,1
"ABUND40_SAME_BALANCED","DASRA","present_conditional_abundance","estimating_equation_residue",44,0,1
"NULL_FOURFOLD","DASRA","present_conditional_abundance","estimating_equation_root_step",7,0,1
"ABUND_FOURFOLD","DASRA","present_conditional_abundance","multiple_root_effect_disagreement",22,0,1
"NULL_BALANCED","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",2,0,1
"NULL_FOURFOLD","DASRA","structural_absence","structural_absence_persistent_boundary",22,0,1
"NULL_FOURFOLD","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",4,0,1
"ABUND60_SAME_BALANCED","DASRA","present_conditional_abundance","estimating_equation_root_step",4,0,1
"STRUCT_BALANCED","DASRA","structural_absence","structural_absence_persistent_boundary",20,0,1
"STRUCT_FOURFOLD","DASRA","present_conditional_abundance","estimating_equation_root_step",8,0,1
"ABUND_BALANCED","DASRA","present_conditional_abundance","estimating_equation_root_step",4,0,1
"STRUCT_BALANCED","DASRA","present_conditional_abundance","estimating_equation_root_step",2,0,1
"ABUND60_SAME_BALANCED","DASRA","structural_absence","structural_absence_persistent_boundary",14,0,1
"ABUND_FOURFOLD","DASRA","present_conditional_abundance","estimating_equation_root_step",7,0,1
"JOINT_BALANCED","DASRA","present_conditional_abundance","estimating_equation_root_step",3,0,1
"ABUND40_SAME_BALANCED","DASRA","structural_absence","structural_absence_persistent_boundary",12,0,1
"STRUCT_BALANCED","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",3,0,1
"NULL_BALANCED","DASRA","present_conditional_abundance","estimating_equation_root_step",1,0,1
"JOINT_BALANCED","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",3,0,1
"STRUCT_BALANCED","DASRA","present_conditional_abundance","singular_or_ill_conditioned_jacobian",1,0,1
"JOINT_BALANCED","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",200,0,0
"JOINT_FOURFOLD","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",350,0,0
"ABUND60_SAME_BALANCED","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",250,0,0
"ABUND_BALANCED","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",2,0,1
"NULL_FOURFOLD","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",200,0,0
"ABUND60_SAME_BALANCED","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",2,0,1
"ABUND_BALANCED","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",100,0,0
"ABUND_FOURFOLD","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",200,0,0
"ABUND40_SAME_BALANCED","metagenomeSeq","general_abundance","error: Warning sample with one or zero features",100,0,0
"ABUND40_SAME_BALANCED","DASRA","present_conditional_abundance","estimating_equation_root_step",1,0,1
"JOINT_FOURFOLD","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",1,0,1
"STRUCT_FOURFOLD","DASRA","present_conditional_abundance","root_outside_numerical_safety_region",1,0,1
