"setting_id","taxon","n_replications","mean_positive_control","mean_positive_case","probability_control_below_20","probability_case_below_20","probability_either_group_below_20"
"STRUCT_BALANCED","Taxon_041",100,69.91,70.36,0,0,0
"STRUCT_BALANCED","Taxon_042",100,53.65,54.61,0,0,0
"STRUCT_BALANCED","Taxon_043",100,41.77,42.34,0,0,0
"STRUCT_BALANCED","Taxon_044",100,40.24,39.57,0,0,0
"STRUCT_BALANCED","Taxon_045",100,60.58,61.39,0,0,0
"STRUCT_BALANCED","Taxon_046",100,51.4,52.63,0,0,0
"STRUCT_BALANCED","Taxon_047",100,56.56,57.22,0,0,0
"STRUCT_BALANCED","Taxon_048",100,44.54,43.71,0,0,0
"STRUCT_BALANCED","Taxon_049",100,62.15,61.97,0,0,0
"STRUCT_BALANCED","Taxon_050",100,50.22,50.44,0,0,0
"STRUCT_FOURFOLD","Taxon_001",100,33.76,41.05,0,0.02,0.02
"STRUCT_FOURFOLD","Taxon_002",100,63.23,69.86,0,0,0
"STRUCT_FOURFOLD","Taxon_003",100,94.82,104.18,0,0,0
"STRUCT_FOURFOLD","Taxon_004",100,87.89,93.43,0,0,0
"STRUCT_FOURFOLD","Taxon_005",100,62.29,70.34,0,0,0
"STRUCT_FOURFOLD","Taxon_006",100,97.7,103.9,0,0,0
"STRUCT_FOURFOLD","Taxon_007",100,62.62,73.52,0,0,0
"STRUCT_FOURFOLD","Taxon_008",100,102.76,107.16,0,0,0
"STRUCT_FOURFOLD","Taxon_009",100,74.5,78.8,0,0,0
"STRUCT_FOURFOLD","Taxon_010",100,49.13,58.63,0,0,0
"STRUCT_FOURFOLD","Taxon_011",100,42.01,47.81,0,0,0
"STRUCT_FOURFOLD","Taxon_012",100,55.63,67.74,0,0,0
"STRUCT_FOURFOLD","Taxon_013",100,47.52,56.02,0,0,0
"STRUCT_FOURFOLD","Taxon_014",100,28.82,36.49,0.01,0.04,0.05
"STRUCT_FOURFOLD","Taxon_015",100,76.85,86.11,0,0,0
"STRUCT_FOURFOLD","Taxon_016",100,72.77,80.72,0,0,0
"STRUCT_FOURFOLD","Taxon_017",100,98.8,107.57,0,0,0
"STRUCT_FOURFOLD","Taxon_018",100,47.89,55.76,0,0,0
"STRUCT_FOURFOLD","Taxon_019",100,44.83,54.65,0,0,0
"STRUCT_FOURFOLD","Taxon_020",100,69.68,80.3,0,0,0
"STRUCT_FOURFOLD","Taxon_021",100,49.8,61.12,0,0,0
"STRUCT_FOURFOLD","Taxon_022",100,25.98,31.34,0.09,0.07,0.16
"STRUCT_FOURFOLD","Taxon_023",100,47.72,57.02,0,0,0
"STRUCT_FOURFOLD","Taxon_024",100,59.01,71.27,0,0,0
"STRUCT_FOURFOLD","Taxon_025",100,37.42,48.9,0,0,0
"STRUCT_FOURFOLD","Taxon_026",100,76.99,83.69,0,0,0
"STRUCT_FOURFOLD","Taxon_027",100,58.25,73.34,0,0,0
"STRUCT_FOURFOLD","Taxon_028",100,60.38,76.69,0,0,0
"STRUCT_FOURFOLD","Taxon_029",100,59.51,74.81,0,0,0
"STRUCT_FOURFOLD","Taxon_030",100,57.91,78.67,0,0,0
"STRUCT_FOURFOLD","Taxon_031",100,34.3,46.63,0,0,0
"STRUCT_FOURFOLD","Taxon_032",100,49.79,68.31,0,0,0
"STRUCT_FOURFOLD","Taxon_033",100,36.57,51.71,0,0,0
"STRUCT_FOURFOLD","Taxon_034",100,32.1,45.91,0,0.02,0.02
"STRUCT_FOURFOLD","Taxon_035",100,40.54,57.3,0,0,0
"STRUCT_FOURFOLD","Taxon_036",100,28.82,40.36,0.01,0,0.01
"STRUCT_FOURFOLD","Taxon_037",100,29.43,45.79,0.01,0,0.01
"STRUCT_FOURFOLD","Taxon_038",100,44.81,65.82,0,0,0
"STRUCT_FOURFOLD","Taxon_039",100,33.05,38.55,0,0.02,0.02
"STRUCT_FOURFOLD","Taxon_040",100,27.72,33.56,0.02,0.03,0.05
"STRUCT_FOURFOLD","Taxon_041",100,51.35,78.14,0,0,0
"STRUCT_FOURFOLD","Taxon_042",100,39.17,60.41,0,0,0
"STRUCT_FOURFOLD","Taxon_043",100,30.29,46.62,0,0,0
"STRUCT_FOURFOLD","Taxon_044",100,34.22,41.13,0,0,0
"STRUCT_FOURFOLD","Taxon_045",100,43.78,66.69,0,0,0
"STRUCT_FOURFOLD","Taxon_046",100,35.83,59.22,0,0,0
"STRUCT_FOURFOLD","Taxon_047",100,39.29,63.68,0,0,0
"STRUCT_FOURFOLD","Taxon_048",100,29.29,49.2,0.03,0,0.03
"STRUCT_FOURFOLD","Taxon_049",100,42.25,70.7,0,0,0
"STRUCT_FOURFOLD","Taxon_050",100,35.3,56.22,0,0,0
"ABUND_BALANCED","Taxon_001",100,38.41,38.58,0,0,0
"ABUND_BALANCED","Taxon_002",100,69.34,68.65,0,0,0
"ABUND_BALANCED","Taxon_003",100,102.71,102.09,0,0,0
"ABUND_BALANCED","Taxon_004",100,91.47,92.81,0,0,0
"ABUND_BALANCED","Taxon_005",100,67.98,68.06,0,0,0
"ABUND_BALANCED","Taxon_006",100,103.07,103.02,0,0,0
"ABUND_BALANCED","Taxon_007",100,71.47,71.25,0,0,0
"ABUND_BALANCED","Taxon_008",100,106.8,106.57,0,0,0
"ABUND_BALANCED","Taxon_009",100,79.45,78.5,0,0,0
"ABUND_BALANCED","Taxon_010",100,56.01,55.69,0,0,0
