"dataset","dataset_label","replicate","scenario","method","n_taxa","n_available","availability_rate","n_bh_rejections","familywise_type_i_error"
"Qiita13631ASD","ASD Dan 2020",41,"fourfold","ZINQ",30,30,1,1,1
"Qiita13631ASD","ASD Dan 2020",41,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",42,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",42,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",42,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",42,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",42,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",42,"fourfold","MaAsLin3",30,23,0.766666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",43,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",43,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",43,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",43,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",43,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",43,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",44,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",44,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",44,"balanced","MaAsLin3",30,17,0.566666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",44,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",44,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",44,"fourfold","MaAsLin3",30,19,0.633333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",45,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",45,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",45,"balanced","MaAsLin3",30,18,0.6,0,0
"Qiita13631ASD","ASD Dan 2020",45,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",45,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",45,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",46,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",46,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",46,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",46,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",46,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",46,"fourfold","MaAsLin3",30,19,0.633333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",47,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",47,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",47,"balanced","MaAsLin3",30,14,0.466666666666667,0,0
"Qiita13631ASD","ASD Dan 2020",47,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",47,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",47,"fourfold","MaAsLin3",30,24,0.8,0,0
"Qiita13631ASD","ASD Dan 2020",48,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",48,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",48,"balanced","MaAsLin3",30,16,0.533333333333333,0,0
"Qiita13631ASD","ASD Dan 2020",48,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",48,"fourfold","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",48,"fourfold","MaAsLin3",30,21,0.7,1,1
"Qiita13631ASD","ASD Dan 2020",49,"balanced","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",49,"balanced","ZINQ",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",49,"balanced","MaAsLin3",30,15,0.5,0,0
"Qiita13631ASD","ASD Dan 2020",49,"fourfold","SACAT",30,30,1,0,0
"Qiita13631ASD","ASD Dan 2020",49,"fourfold","ZINQ",30,30,1,1,1
"Qiita13631ASD","ASD Dan 2020",49,"fourfold","MaAsLin3",30,21,0.7,0,0
"Qiita13631ASD","ASD Dan 2020",50,"balanced","SACAT",30,30,1,0,0
