samples_per_group,signal_taxa_percent,covariate_structure,target_abundance_difference,method,measure,replications,estimate,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
80,20,Unconfounded,0.3,LinDA,Power after Benjamini-Hochberg adjustment,100,0.043,0.0714284271282814,0.00714284271282814,0.0290000282828569,0.0569999717171432
80,20,Unconfounded,0.3,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.128,0.148446500923274,0.0148446500923274,0.0989044858190383,0.157095514180962
80,20,Unconfounded,0.3,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
80,20,Unconfounded,0.4,edgeR,Power after Benjamini-Hochberg adjustment,100,0.088,0.132023872956004,0.0132023872956004,0.0621233209006233,0.113876679099377
80,20,Unconfounded,0.4,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.216,0.176795264802442,0.0176795264802442,0.181348128098721,0.250651871901279
80,20,Unconfounded,0.4,corncob,Power after Benjamini-Hochberg adjustment,100,0.458,0.200090888439138,0.0200090888439138,0.418782185865929,0.497217814134071
80,20,Unconfounded,0.4,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.515,0.190361166568641,0.0190361166568641,0.477689211352547,0.552310788647454
80,20,Unconfounded,0.4,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.733,0.144986937760655,0.0144986937760655,0.704582560198912,0.761417439801089
80,20,Unconfounded,0.4,SACAT,Power after Benjamini-Hochberg adjustment,100,0.634,0.160315345806352,0.0160315345806352,0.602578192221955,0.665421807778045
80,20,Unconfounded,0.4,LinDA,Power after Benjamini-Hochberg adjustment,100,0.093,0.104692913134586,0.0104692913134586,0.0724801890256211,0.113519810974379
80,20,Unconfounded,0.4,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.379,0.20709388882311,0.020709388882311,0.33840959779067,0.41959040220933
80,20,Unconfounded,0.4,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
80,20,Unconfounded,0.5,edgeR,Power after Benjamini-Hochberg adjustment,100,0.284,0.187874877769673,0.0187874877769673,0.247176523957144,0.320823476042856
80,20,Unconfounded,0.5,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.509,0.207483722131388,0.0207483722131388,0.468333190462248,0.549666809537752
80,20,Unconfounded,0.5,corncob,Power after Benjamini-Hochberg adjustment,100,0.732,0.151677488791385,0.0151677488791385,0.702271212196889,0.761728787803111
80,20,Unconfounded,0.5,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.764,0.135973853695808,0.0135973853695808,0.737349124675622,0.790650875324378
80,20,Unconfounded,0.5,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.892,0.10118489926063,0.010118489926063,0.872167759744917,0.911832240255083
80,20,Unconfounded,0.5,SACAT,Power after Benjamini-Hochberg adjustment,100,0.839,0.117975344111309,0.0117975344111309,0.815876832554183,0.862123167445817
80,20,Unconfounded,0.5,LinDA,Power after Benjamini-Hochberg adjustment,100,0.2,0.156347191994114,0.0156347191994114,0.169355950369154,0.230644049630846
80,20,Unconfounded,0.5,ZINQ,Power after Benjamini-Hochberg adjustment,100,0.66,0.175809814598307,0.0175809814598307,0.625541276338732,0.694458723661268
80,20,Unconfounded,0.5,ANCOM-BC2,Power after Benjamini-Hochberg adjustment,100,0,0,0,0,0
80,20,Unconfounded,0.6,edgeR,Power after Benjamini-Hochberg adjustment,100,0.492,0.176772409749047,0.0176772409749047,0.457352607689187,0.526647392310813
80,20,Unconfounded,0.6,DESeq2,Power after Benjamini-Hochberg adjustment,100,0.792,0.158069157604697,0.0158069157604697,0.761018445109479,0.822981554890521
80,20,Unconfounded,0.6,corncob,Power after Benjamini-Hochberg adjustment,100,0.918,0.0967971950507708,0.00967971950507708,0.899027749770049,0.936972250229951
80,20,Unconfounded,0.6,MaAsLin 3,Power after Benjamini-Hochberg adjustment,100,0.917,0.0865208563634144,0.00865208563634144,0.900041912152771,0.933958087847229
80,20,Unconfounded,0.6,metagenomeSeq,Power after Benjamini-Hochberg adjustment,100,0.975,0.0575159178669767,0.00575159178669767,0.963726880098072,0.986273119901927
80,20,Unconfounded,0.6,SACAT,Power after Benjamini-Hochberg adjustment,100,0.955,0.0715979233376404,0.00715979233376404,0.940966807025822,0.969033192974177
80,20,Unconfounded,0.6,LinDA,Power after Benjamini-Hochberg adjustment,100,0.378,0.185090750332333,0.0185090750332333,0.341722212934863,0.414277787065137
