component_family,null_mechanism,samples_per_group,covariate_structure,method,method_component,tested_component,replications,familywise_type_i_error,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Abundance,Depth-imbalanced null,60,Confounded,DESeq2,DESeq2,General abundance,100,0.035,0.146594334781052,0.0146594334781052,0.00626751038291389,0.0637324896170861
Abundance,Depth-imbalanced null,60,Confounded,corncob,corncob,General abundance,100,0.145,0.295547770839986,0.0295547770839986,0.0870726369153628,0.202927363084637
Abundance,Depth-imbalanced null,60,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555769,0.0533909591444423
Abundance,Depth-imbalanced null,60,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.85,0.261116483933547,0.0261116483933547,0.798821169149025,0.901178830850975
Abundance,Depth-imbalanced null,60,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.065,0.196625573518849,0.0196625573518849,0.0264613875903057,0.103538612409694
Abundance,Depth-imbalanced null,60,Confounded,LinDA,LinDA,General abundance,100,0.175,0.320786596359699,0.0320786596359699,0.112125827113499,0.237874172886501
Abundance,Depth-imbalanced null,60,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.045,0.143811745632331,0.0143811745632331,0.0168128978560632,0.0731871021439368
Abundance,Depth-imbalanced null,60,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Correlated-community null,60,Confounded,edgeR,edgeR,General abundance,100,0.005,0.05,0.005,0,0.0148
Abundance,Correlated-community null,60,Confounded,DESeq2,DESeq2,General abundance,100,0.015,0.0857233039988826,0.00857233039988826,0,0.031801767583781
Abundance,Correlated-community null,60,Confounded,corncob,corncob,General abundance,100,0.05,0.150755672288882,0.0150755672288882,0.0204518882313792,0.0795481117686208
Abundance,Correlated-community null,60,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.04,0.136329962172146,0.0136329962172146,0.0132793274142595,0.0667206725857405
Abundance,Correlated-community null,60,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.245,0.337062473602611,0.0337062473602611,0.178935755173888,0.311064244826112
Abundance,Correlated-community null,60,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.075,0.192996048528137,0.0192996048528137,0.0371727744884852,0.112827225511515
Abundance,Correlated-community null,60,Confounded,LinDA,LinDA,General abundance,100,0.06,0.204494943258218,0.0204494943258218,0.0199189911213892,0.100081008878611
Abundance,Correlated-community null,60,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555769,0.0533909591444423
Abundance,Correlated-community null,60,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
Abundance,Taxonwise global null,80,Confounded,edgeR,edgeR,General abundance,100,0.025,0.130558241966773,0.0130558241966773,0,0.0505894154254876
Abundance,Taxonwise global null,80,Confounded,DESeq2,DESeq2,General abundance,100,0.035,0.162912258717397,0.0162912258717397,0.00306919729139022,0.0669308027086098
Abundance,Taxonwise global null,80,Confounded,corncob,corncob,General abundance,100,0.11,0.241836408517925,0.0241836408517925,0.0626000639304868,0.157399936069513
Abundance,Taxonwise global null,80,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.055,0.186609839834968,0.0186609839834968,0.0184244713923463,0.0915755286076537
Abundance,Taxonwise global null,80,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.27,0.378860599080128,0.0378860599080128,0.195743322580295,0.344256677419705
Abundance,Taxonwise global null,80,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.115,0.254802359534292,0.0254802359534292,0.0650587375312788,0.164941262468721
Abundance,Taxonwise global null,80,Confounded,LinDA,LinDA,General abundance,100,0.09,0.239738915228103,0.0239738915228103,0.0430111726152918,0.136988827384708
Abundance,Taxonwise global null,80,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.045,0.160412977131912,0.0160412977131912,0.0135590564821453,0.0764409435178547
Abundance,Taxonwise global null,80,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0.01,0.0703526470681448,0.00703526470681448,0,0.0237891188253564
Abundance,Depth-imbalanced null,80,Confounded,edgeR,edgeR,General abundance,100,0,0,0,0,0
Abundance,Depth-imbalanced null,80,Confounded,DESeq2,DESeq2,General abundance,100,0.03,0.119341628287971,0.0119341628287971,0.00660904085555767,0.0533909591444423
Abundance,Depth-imbalanced null,80,Confounded,corncob,corncob,General abundance,100,0.07,0.201258665664489,0.0201258665664489,0.0305533015297602,0.10944669847024
Abundance,Depth-imbalanced null,80,Confounded,MaAsLin 3,MaAsLin 3 abundance,Detected log abundance,100,0.025,0.109521456778795,0.0109521456778795,0.00353379447135615,0.0464662055286438
Abundance,Depth-imbalanced null,80,Confounded,metagenomeSeq,metagenomeSeq,General abundance,100,0.875,0.239686242720551,0.0239686242720551,0.828021496426772,0.921978503573228
Abundance,Depth-imbalanced null,80,Confounded,SACAT,SACAT present-conditional abundance,Present-conditional abundance,100,0.075,0.192996048528137,0.0192996048528137,0.0371727744884852,0.112827225511515
Abundance,Depth-imbalanced null,80,Confounded,LinDA,LinDA,General abundance,100,0.29,0.363623737154524,0.0363623737154524,0.218729747517713,0.361270252482287
Abundance,Depth-imbalanced null,80,Confounded,ZINQ,ZINQ quantile abundance,Detected-sample quantile abundance,100,0.045,0.143811745632331,0.0143811745632331,0.0168128978560632,0.0731871021439368
Abundance,Depth-imbalanced null,80,Confounded,ANCOM-BC2,ANCOM-BC2,General abundance,100,0,0,0,0,0
