experiment,samples_per_group,signal_taxa_percent,covariate_structure,target_difference,method,tested_quantity,replications,rejection_probability,monte_carlo_sd,monte_carlo_se,interval_lower,interval_upper
Observed-prevalence perturbation,120,40,Unconfounded,0.2,MaAsLin 3,Observed prevalence,100,0.795,0.109059338866231,0.0109059338866231,0.773624369582219,0.816375630417781
Observed-prevalence perturbation,120,40,Unconfounded,0.2,ZINQ,Observed prevalence,100,0.804,0.104369197050324,0.0104369197050324,0.783543637378137,0.824456362621864
Observed-prevalence perturbation,120,40,Unconfounded,0.24,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Unconfounded,0.24,MaAsLin 3,Observed prevalence,100,0.9265,0.0557116493992763,0.00557116493992763,0.915580516717742,0.937419483282258
Observed-prevalence perturbation,120,40,Unconfounded,0.24,ZINQ,Observed prevalence,100,0.93,0.053654336998866,0.0053654336998866,0.919483749948222,0.940516250051778
Observed-prevalence perturbation,120,40,Unconfounded,0.28,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,120,40,Unconfounded,0.28,MaAsLin 3,Observed prevalence,100,0.984,0.0274137766736937,0.00274137766736937,0.978626899771956,0.989373100228044
Observed-prevalence perturbation,120,40,Unconfounded,0.28,ZINQ,Observed prevalence,100,0.9845,0.0272428287292586,0.00272428287292586,0.979160405569065,0.989839594430935
Observed-prevalence perturbation,120,40,Unconfounded,0.32,SACAT,Structural absence,100,5e-04,0.005,5e-04,0,0.00148
Observed-prevalence perturbation,120,40,Unconfounded,0.32,MaAsLin 3,Observed prevalence,100,0.9975,0.0109521456778795,0.00109521456778795,0.995353379447136,0.999646620552864
Observed-prevalence perturbation,120,40,Unconfounded,0.32,ZINQ,Observed prevalence,100,0.9975,0.0109521456778795,0.00109521456778795,0.995353379447136,0.999646620552864
Observed-prevalence perturbation,60,20,Confounded,0,SACAT,Structural absence,100,0.003,0.0171446607997765,0.00171446607997765,0,0.0063603535167562
Observed-prevalence perturbation,60,20,Confounded,0,MaAsLin 3,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,60,20,Confounded,0,ZINQ,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,60,20,Confounded,0.04,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,60,20,Confounded,0.04,MaAsLin 3,Observed prevalence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Confounded,0.04,ZINQ,Observed prevalence,100,0.002,0.014070529413629,0.0014070529413629,0,0.00475782376507128
Observed-prevalence perturbation,60,20,Confounded,0.08,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,60,20,Confounded,0.08,MaAsLin 3,Observed prevalence,100,0.004,0.0196946385566932,0.00196946385566932,0.000139850842888125,0.00786014915711188
Observed-prevalence perturbation,60,20,Confounded,0.08,ZINQ,Observed prevalence,100,0.008,0.0272659924344291,0.00272659924344291,0.0026558654828519,0.0133441345171481
Observed-prevalence perturbation,60,20,Confounded,0.12,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Confounded,0.12,MaAsLin 3,Observed prevalence,100,0.022,0.0483672817035849,0.00483672817035849,0.0125200127860974,0.0314799872139026
Observed-prevalence perturbation,60,20,Confounded,0.12,ZINQ,Observed prevalence,100,0.033,0.0603943271133535,0.00603943271133535,0.0211627118857827,0.0448372881142173
Observed-prevalence perturbation,60,20,Confounded,0.16,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,60,20,Confounded,0.16,MaAsLin 3,Observed prevalence,100,0.05,0.0846859915908007,0.00846859915908007,0.0334015456482031,0.0665984543517969
Observed-prevalence perturbation,60,20,Confounded,0.16,ZINQ,Observed prevalence,100,0.08,0.0994936676326182,0.00994936676326182,0.0604992411440068,0.0995007588559932
Observed-prevalence perturbation,60,20,Confounded,0.2,SACAT,Structural absence,100,0,0,0,0,0
Observed-prevalence perturbation,60,20,Confounded,0.2,MaAsLin 3,Observed prevalence,100,0.167,0.187517002596101,0.0187517002596101,0.130246667491164,0.203753332508836
Observed-prevalence perturbation,60,20,Confounded,0.2,ZINQ,Observed prevalence,100,0.191,0.196481679820411,0.0196481679820411,0.152489590755199,0.229510409244801
Observed-prevalence perturbation,60,20,Confounded,0.24,SACAT,Structural absence,100,0.001,0.01,0.001,0,0.00296
Observed-prevalence perturbation,60,20,Confounded,0.24,MaAsLin 3,Observed prevalence,100,0.343,0.19656391768932,0.019656391768932,0.304473472132893,0.381526527867107
Observed-prevalence perturbation,60,20,Confounded,0.24,ZINQ,Observed prevalence,100,0.382,0.201198429618146,0.0201198429618146,0.342565107794843,0.421434892205157
