"source_feature","pi0","mu","sigma","expected_absolute_abundance","expected_detection_at_1500","within_pi0_range","passes_detection"
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_salyersiae",0.866108786610879,2.69629222215332,2.64338047346746,65.319769334181,0.083444676750185,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_30",0.98326359832636,5.24313969269479,1.21848578935941,6.654706251266,0.0170486008466417,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_1_1_6",0.97907949790795,5.16537567051829,1.40877446615473,9.88158356985209,0.0190968402036664,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_2_1_22",0.828451882845188,4.41815297595773,1.73959039983808,64.6086866706864,0.150689304516334,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_3_2_5",0.98744769874477,3.19867855436948,0.422077852366213,0.336183595804545,0.0113546167996781,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_sp_4_3_47FAA",0.96234309623431,5.71988131389977,1.18329081085576,23.1207598981784,0.0345337037136531,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris",0.330543933054393,4.26566829118572,3.35009502946737,13042.2179305871,0.522692351260232,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_thetaiotaomicron",0.234309623430962,3.70558613168977,2.1954351508707,346.740438238466,0.609163040523658,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_uniformis",0.0836820083682008,5.26035513628834,1.95998680843217,1204.40079752962,0.86037357458029,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus",0.0920502092050209,4.89078148606096,2.19267245499009,1336.91705242464,0.818516955493511,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_xylanisolvens",0.242677824267782,2.47460245806679,2.22920710857515,107.912218381164,0.485979845163172,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidales_noname|g__Bacteroidales_noname|s__Bacteroidales_bacterium_ph8",0.447698744769874,3.21167524227592,2.09866308383361,123.990752058916,0.396983858312584,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Barnesiella|s__Barnesiella_intestinihominis",0.543933054393305,4.00339488742439,2.53472348924875,620.602512927697,0.362649418289169,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Butyricimonas|s__Butyricimonas_synergistica",0.836820083682008,-2.50453048663946,2.16128403903042,0.137812936808916,0.00979070212255389,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Coprobacter|s__Coprobacter_fastidiosus",0.774058577405858,1.57927683093828,1.5137384878498,3.44698325739363,0.106135700454153,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Dysgonomonas|s__Dysgonomonas_unclassified",0.97907949790795,-2.35916333408897,1.55069506553632,0.00657907329330537,0.00122385608742265,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_laneus",0.97071129707113,5.21268452373824,0.572959098817811,6.33615542911205,0.0294934892819302,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_splanchnicus",0.284518828451883,4.08965181431302,0.997167427666338,70.247397290609,0.656207310395606,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Odoribacter|s__Odoribacter_unclassified",0.9581589958159,-0.306735458030712,1.02455237222141,0.0520390887918402,0.00836470706050761,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_distasonis",0.330543933054393,3.11980706374573,2.60563220535341,451.771681070306,0.467623918084272,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_goldsteinii",0.799163179916318,0.981765352164114,2.19554557252273,5.96979740699859,0.081839580129651,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_johnsonii",0.815899581589958,1.21311381897913,3.25616914688908,124.232977992341,0.0841734955042101,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_merdae",0.292887029288703,4.74870781864281,2.25633625534147,1040.72163385389,0.626890125026526,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_sp_D13",0.97489539748954,3.44291952303203,0.524382647595377,0.900958593020487,0.021668356142131,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Parabacteroides|s__Parabacteroides_unclassified",0.698744769874477,3.38748560069635,2.5139936846794,210.13922580873,0.225138914570035,TRUE,TRUE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_asaccharolytica",0.811715481171548,-1.84519110685074,2.04942903403437,0.242946873712744,0.0181285337054246,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_bennonis",0.895397489539749,-1.56207511290779,1.7573703662357,0.102746803260534,0.011784861867373,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_catoniae",0.98326359832636,-2.97456008131807,1.10848365812266,0.00157995128931307,0.000303883421380622,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_somerae",0.96234309623431,-0.13687895678658,1.71944879176064,0.144010961951784,0.00838277932084813,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_sp_oral_taxon_279",0.98744769874477,1.47847078945254,1.40644618321185,0.148030781952993,0.00707379136807254,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Porphyromonadaceae|g__Porphyromonas|s__Porphyromonas_uenonis",0.9581589958159,-1.54693581552621,1.30945130598084,0.0209947491479849,0.00312339254708454,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Alloprevotella|s__Alloprevotella_unclassified",0.903765690376569,-1.93914954147226,0.712222773410658,0.0178368588994308,0.00319753357836943,FALSE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_clara",0.832635983263598,2.65625724452315,2.37180656451635,39.7021894659007,0.104556494858454,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_unclassified",0.790794979079498,2.86914741049603,2.89642283004047,244.530359070073,0.135425355161734,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Paraprevotella|s__Paraprevotella_xylaniphila",0.849372384937239,1.19870073235755,2.08444863213075,4.38512954820486,0.0643920251598665,TRUE,FALSE
"k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_amnii",0.98744769874477,-4.18572333041685,1.16791959777051,0.00037764479486809,8.66158371825084e-05,FALSE,FALSE
